,budget_change,gross_us_change,gross_world_change,nominations_change,oscars_change,votes_change,avg_rating_change
0,41.5907129760422,4.793167731374082,7.357922669878114,9.326765188834152,21.42857142857142,22.168098485519437,1.0777362812893543
1,-61.523000015677155,-1.1016419914510744,5.568235854333792,-2.1027335536197067,-11.764705882352944,-5.6111352762070466,-0.013136798182766807
2,28.224010855838767,6.646999327873293,7.461409745376679,3.896900889843513,4.444444444444451,12.572964669738873,-0.9580724075987535
3,-10.658094745515644,9.405284208729592,9.422857817123642,8.210277613703475,17.021276595744684,-25.073343794773827,1.0890284804272676
4,13.930977442585956,-3.0329651613740793,1.9373450990622265,14.737991266375538,-1.8181818181818188,34.365325077399376,-0.5369717546461317
5,237.54855846770306,-25.622284142784746,-18.557446887677486,-32.18363463368221,-46.29629629629629,-55.84846841962592,-1.76167124652149
6,-82.26955420582532,-73.42678559695601,-74.90014055495368,-22.413188354963175,-24.13793103448276,26.32386799693016,1.0913892343452414
7,185.51623071536056,390.10886298294054,398.6261736485864,89.91862567811934,168.18181818181816,44.27703523693802,2.4119166508995704
8,-38.10914731274819,9.583829301735536,10.303306136269107,14.615567721970969,-25.423728813559322,-78.44028970860704,-0.12394101520364353
9,22.02149771379025,-1.1285884850651295,0.47926025314719567,7.97507788161993,0.0,112.73437500000001,1.5928902720183213
10,132.71979727876283,8.952728010892862,12.968251376525842,10.675129832660124,13.636363636363647,55.72897539478517,-1.0115225093919267
11,-57.26387497805037,-6.919131981653215,-2.7232724132728925,-11.557177615571778,-9.999999999999998,-33.52199033132885,0.10516082865368315
12,512.791382801698,4.475955810211296,-2.292448857424445,0.7074081351935657,-35.55555555555555,-64.5264278112806,-0.7669555958775054
13,-83.94427409440013,-1.6280241915460736,0.5602807797249643,-4.390243902439028,-20.68965517241379,87.3,-1.2927323341223595
14,-78.21061330593886,-87.43750886444882,-85.3663301181405,-71.59183673469387,-56.52173913043479,0.7474639615590029,-5.994445635903201
15,864.1234612028433,213.58893433694624,178.14383469771934,171.40804597701148,250.0,5.325914149443567,8.097260403829743
16,171.36726511171037,66.09876610636591,47.62486137331072,25.91318157755427,25.71428571428571,-67.52201257861635,1.4670496519392007
17,-45.888959343360334,8.599221703750848,5.236699508206022,-11.667017027538362,-40.90909090909091,288.07126258714175,-1.9199059112223638
18,632.3083349022055,-6.193139900961009,-14.71202792608497,-47.096620656830076,-100.0,3.9920159680638667,-1.0012767283584467
